"References","Footprint","Digi-Key_PN","MPN","Quantity"
"J1, J2, J3, J4","RJ12_Amphenol_54601-x06_Horizontal","609-4729-ND","54601-906WPLF",4
"J5","RJ45_Amphenol_54602-x08_Horizontal","609-1046-ND","54602-908LF",1
